...1;nombre;region;provincia;comuna;hogares;hectareas;area;observaciones;año;tipo
1;Bellavista;Valparaíso;Valparaíso;Valparaíso;29;1,51380154;10617,232908570;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
2;Buena Vista;Valparaíso;Valparaíso;Valparaíso;32;1,67004587;11707,445934285;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
3;Los Fleteros;Valparaíso;Valparaíso;Valparaíso;56;2,49148542;17465,450326680;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;grandes
4;Pueblo Hundido;Valparaíso;Valparaíso;Valparaíso;65;4,60232297;32261,177602955;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;grandes
5;Villa Italia Turín;Valparaíso;Valparaíso;Valparaíso;33;0,86734704;6080,654088510;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
6;Nueva Esperanza;Valparaíso;Valparaíso;Valparaíso;17;0,39939961;2801,616432820;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
7;Francisco Vergara;Valparaíso;Valparaíso;Valparaíso;24;2,84686062;19954,735475345;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
8;Manuel Rodríguez;Valparaíso;Valparaíso;Valparaíso;21;0,44280142;3102,941014870;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
9;Sofia 35;Valparaíso;Valparaíso;Valparaíso;69;2,68439035;18818,661165560;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2011;grandes
10;Las Viñas De Irene Frei;Valparaíso;Marga Marga;Villa Alemana;32;1,24114963;8704,227181800;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2011;normales
11;Lomas De Bellavista;Valparaíso;Marga Marga;Villa Alemana;42;3,96877401;27807,631110440;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
12;Manzana 33;Valparaíso;Marga Marga;Villa Alemana;37;2,18561300;15316,434342285;CAMPAMENTO EN CATASTRO NACIONAL 2022;CATASTRO_2011;normales
13;Ampliación Prat-Lomas De Peñablanca;Valparaíso;Marga Marga;Villa Alemana;146;15,07016805;105607,722965880;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;grandes
14;Los Artesanos;Valparaíso;Valparaíso;Viña del Mar;35;2,00159370;14033,771614335;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
15;La Unión - Elías Lafferte;Valparaíso;Valparaíso;Viña del Mar;20;1,32627982;9298,484383845;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
16;John Kennedy;Valparaíso;Valparaíso;Valparaíso;48;0,85755347;6013,729821330;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
17;Pezoa Veliz;Valparaíso;Valparaíso;Valparaíso;22;0,19421607;1361,465679960;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
18;Violeta Parra;Valparaíso;Valparaíso;Valparaíso;123;10,69814119;74992,423099290;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;grandes
19;Cristo Redentor;Valparaíso;Valparaíso;Valparaíso;53;0,86193213;6041,275282775;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;grandes
20;Loma Vista Al Mar;Valparaíso;Valparaíso;Viña del Mar;47;1,19000035;8344,240585870;CAMPAMENTO EN CATASTRO NACIONAL 2022. AJUSTE DE LÍMITES;CATASTRO_2011;normales
21;La Isla;Valparaíso;Valparaíso;Viña del Mar;17;1,99365228;13989,211729290;CAMPAMENTO EN CATASTRO NACIONAL 2022. EXTENSIÓN DE LÍMITE;CATASTRO_2011;normales
