"MES_INFORMACION","REGIÓN","COMUNA","SEXO","EDAD_TRAMO","NACIONALIDAD","TITULAR_CARGA","TRAMO","BENEFICIARIOS"
202412,"Metropolitana De Santiago","Macul","Mujer","50 a 54 años","Chilena","Titular","C",570
202412,"Metropolitana De Santiago","Macul","Hombre","30 a 34 años","Chilena","Titular","D",1810
202412,"Del Bíobío","Penco","Mujer","45 a 49 años","Chilena","Titular","B",518
202412,"Del Bíobío","Antuco","Hombre","65 a 69 años","Chilena","Titular","B",68
202412,"De La Araucanía","Temuco","Mujer","25 a 29 años","Chilena","Titular","D",2414
202412,"De Coquimbo","Vicuña","Hombre","30 a 34 años","Chilena","Titular","D",370
202412,"De Tarapacá","Iquique","Hombre","30 a 34 años","Extranjera","Titular","C",788
202412,"De Valparaíso","Quilpué","Hombre","15 a 19 años","Chilena","Carga","D",907
202412,"De Los Lagos","Dalcahue","Mujer","15 a 19 años","Chilena","Titular","A",348
202412,"Metropolitana De Santiago","Lo Prado","Hombre","00 a 4 años","Chilena","Carga","B",738
202412,"Metropolitana De Santiago","Pudahuel","Hombre","10 a 14 años","Chilena","Carga","C",972
202412,"Metropolitana De Santiago","Recoleta","Hombre","00 a 4 años","Chilena","Carga","D",616
202412,"Metropolitana De Santiago","Cerrillos","Hombre","15 a 19 años","Extranjera","Carga","B",43
202412,"Metropolitana De Santiago","El Bosque","Hombre","30 a 34 años","Chilena","Titular","D",2419
202412,"De Coquimbo","La Serena","Mujer","10 a 14 años","Chilena","Carga","D",1958
202412,"Metropolitana De Santiago","Quilicura","Hombre","60 a 64 años","Chilena","Titular","B",1350
202412,"Metropolitana De Santiago","La Pintana","Mujer","15 a 19 años","Extranjera","Titular","A",171
202412,"De Los Lagos","Llanquihue","Hombre","35 a 39 años","Chilena","Titular","C",152
202412,"Metropolitana De Santiago","San Miguel","Hombre","15 a 19 años","Chilena","Carga","C",303
202412,"De Valparaíso","Valparaíso","Hombre","70 a 74 años","Chilena","Titular","B",3145
202412,"De Valparaíso","Valparaíso","Hombre","05 a 09 años","Chilena","Carga","D",1426
202412,"De Antofagasta","Antofagasta","Mujer","50 a 54 años","Extranjera","Titular","A",761
202412,"De Antofagasta","Antofagasta","Mujer","30 a 34 años","Chilena","Titular","D",4109
202412,"De Antofagasta","Antofagasta","Mujer","05 a 09 años","Chilena","Carga","B",2408
202412,"Metropolitana De Santiago","Cerro Navia","Mujer","00 a 4 años","Chilena","Carga","A",253
202412,"Del Bíobío","Chiguayante","Mujer","10 a 14 años","Chilena","Titular","A",742
202412,"Del Libertador General Bernardo O'Higgins","Chimbarongo","Mujer","50 a 54 años","Chilena","Titular","C",123
202412,"Del Libertador General Bernardo O'Higgins","Chimbarongo","Hombre","35 a 39 años","Chilena","Titular","C",154
202412,"Del Bíobío","Los Ángeles","Hombre","05 a 09 años","Chilena","Carga","D",1326
202412,"Metropolitana De Santiago","Puente Alto","Mujer","25 a 29 años","Chilena","Titular","D",4848
202412,"Metropolitana De Santiago","Puente Alto","Hombre","00 a 4 años","Chilena","Carga","D",2167
202412,"Metropolitana De Santiago","San Joaquín","Mujer","55 a 59 años","Extranjera","Titular","C",85
202412,"Metropolitana De Santiago","San Joaquín","Hombre","30 a 34 años","Extranjera","Titular","C",292
202412,"Metropolitana De Santiago","Lo Barnechea","Mujer","50 a 54 años","Chilena","Titular","B",524
202412,"De Los Lagos","Puerto Montt","Mujer","55 a 59 años","Chilena","Titular","C",1108
202412,"De Los Lagos","Puerto Montt","Mujer","50 a 54 años","Chilena","Titular","B",2766
202412,"Metropolitana De Santiago","San Bernardo","Mujer","10 a 14 años","Chilena","Carga","B",1938
202412,"Metropolitana De Santiago","San Bernardo","Mujer","60 a 64 años","Chilena","Titular","B",3411
202412,"Metropolitana De Santiago","San Bernardo","Mujer","05 a 09 años","Chilena","Carga","B",2120
202412,"De Valparaíso","Viña Del Mar","Hombre","05 a 09 años","Chilena","Titular","A",1970
202412,"De Valparaíso","Viña Del Mar","Hombre","80 a más años","Chilena","Titular","B",2773
202412,"Metropolitana De Santiago","Independencia","Hombre","20 a 24 años","Chilena","Titular","B",543
202412,"Metropolitana De Santiago","Padre Hurtado","Hombre","30 a 34 años","Chilena","Titular","D",873
202412,"Metropolitana De Santiago","Quinta Normal","Mujer","40 a 44 años","Chilena","Titular","B",736
202412,"Metropolitana De Santiago","Quinta Normal","Mujer","70 a 74 años","Extranjera","Titular","A",139
202412,"De La Araucanía","Nueva Imperial","Mujer","00 a 4 años","Chilena","Carga","B",295
202412,"De La Araucanía","Padre Las Casas","Mujer","35 a 39 años","Chilena","Titular","B",1088
202412,"Metropolitana De Santiago","Pedro Aguirre Cerda","Hombre","30 a 34 años","Extranjera","Titular","B",292
202412,"Del Bíobío","San Pedro De La Paz","Mujer","45 a 49 años","Chilena","Titular","B",1278
202412,"Metropolitana De Santiago","Buin","Hombre","20 a 24 años","Chilena","Carga","C",131
202412,"De Los Lagos","Ancud","Hombre","10 a 14 años","Chilena","Carga","B",258
202412,"Metropolitana De Santiago","Lampa","Hombre","25 a 29 años","Chilena","Titular","B",901
202412,"Metropolitana De Santiago","Macul","Mujer","65 a 69 años","Extranjera","Titular","A",294
202412,"Metropolitana De Santiago","Maipú","Mujer","35 a 39 años","Extranjera","Titular","B",550
202412,"Metropolitana De Santiago","Renca","Hombre","15 a 19 años","Chilena","Carga","B",773
202412,"Metropolitana De Santiago","Renca","Mujer","30 a 34 años","Chilena","Titular","D",1418
202412,"Del Maule","Talca","Hombre","35 a 39 años","Chilena","Titular","D",2733
202412,"Del Bíobío","Arauco","Hombre","25 a 29 años","Chilena","Titular","D",435
202412,"De Ñuble","Bulnes","Mujer","60 a 64 años","Chilena","Carga","D",43
202412,"De Antofagasta","Calama","Mujer","20 a 24 años","Extranjera","Titular","A",849
202412,"Del Maule","Chanco","Mujer","55 a 59 años","Chilena","Titular","B",76
202412,"De Coquimbo","Ovalle","Mujer","05 a 09 años","Chilena","Carga","C",571
202412,"Del Maule","Parral","Mujer","40 a 44 años","Chilena","Titular","D",249
202412,"De Ñuble","Chillán","Hombre","30 a 34 años","Chilena","Titular","D",2433
202412,"De Los Ríos","Futrono","Mujer","25 a 29 años","Chilena","Titular","B",314
202412,"De Tarapacá","Iquique","Hombre","80 a más años","Chilena","Titular","C",236
202412,"De Tarapacá","Iquique","Mujer","80 a más años","Chilena","Titular","D",343
202412,"De Valparaíso","Nogales","Mujer","70 a 74 años","Chilena","Titular","B",361
202412,"De Valparaíso","Quilpué","Hombre","10 a 14 años","Chilena","Carga","B",1107
202412,"De Valparaíso","Quilpué","Mujer","40 a 44 años","Chilena","Titular","A",659
202412,"De Los Ríos","La Unión","Mujer","05 a 09 años","Chilena","Titular","A",442
202412,"Metropolitana De Santiago","Lo Prado","Mujer","20 a 24 años","Chilena","Titular","A",420
202412,"Metropolitana De Santiago","Peñaflor","Mujer","80 a más años","Chilena","Titular","B",1545
202412,"Del Libertador General Bernardo O'Higgins","Rancagua","Hombre","15 a 19 años","Extranjera","Titular","A",226
202412,"Metropolitana De Santiago","Santiago","Hombre","50 a 54 años","Chilena","Titular","A",418
202412,"Metropolitana De Santiago","Cerrillos","Mujer","25 a 29 años","Chilena","Titular","D",641
202412,"De Coquimbo","La Serena","Mujer","65 a 69 años","Chilena","Titular","C",532
202412,"Metropolitana De Santiago","Lo Espejo","Mujer","10 a 14 años","Chilena","Titular","A",1386
202412,"Metropolitana De Santiago","Melipilla","Hombre","00 a 4 años","Chilena","Titular","A",715
202412,"Metropolitana De Santiago","Melipilla","Mujer","05 a 09 años","Chilena","Titular","A",1166
202412,"Metropolitana De Santiago","Melipilla","Mujer","15 a 19 años","Chilena","Carga","D",619
202412,"Metropolitana De Santiago","Melipilla","Mujer","80 a más años","Chilena","Titular","B",2243
202412,"De Coquimbo","Punitaqui","Mujer","10 a 14 años","Chilena","Titular","A",253
202412,"Metropolitana De Santiago","Quilicura","Mujer","05 a 09 años","Chilena","Carga","B",1499
202412,"De Valparaíso","San Felipe","Hombre","60 a 64 años","Chilena","Titular","B",791
202412,"De Valparaíso","San Felipe","Mujer","35 a 39 años","Extranjera","Titular","D",52
202412,"Metropolitana De Santiago","San Miguel","Hombre","70 a 74 años","Chilena","Titular","B",764
202412,"De Antofagasta","Antofagasta","Hombre","30 a 34 años","Extranjera","Titular","B",1129
202412,"De Valparaíso","Calle Larga","Mujer","25 a 29 años","Chilena","Titular","D",99
202412,"Metropolitana De Santiago","Cerro Navia","Mujer","60 a 64 años","Chilena","Titular","B",1651
202412,"Metropolitana De Santiago","Cerro Navia","Hombre","30 a 34 años","Chilena","Titular","C",996
202412,"Metropolitana De Santiago","Cerro Navia","Hombre","55 a 59 años","Chilena","Titular","B",1304
202412,"Del Bíobío","Chiguayante","Mujer","15 a 19 años","Chilena","Titular","A",689
202412,"Del Bíobío","Curanilahue","Hombre","15 a 19 años","Chilena","Carga","D",174
202412,"Desconocida","Desconocida","Hombre","S.I.","Chilena","Titular","B",3057
