codigo_nacional;altura;año;mes;dia;t_min;t_max;nombre;latitud;longitud;zona_geografica;fecha;t_med
180005;50;2013;1;1;16,7;23,9;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-01;NA
180005;50;2013;1;2;16,2;23,5;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-02;NA
180005;50;2013;1;3;20,1;24,3;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-03;NA
180005;50;2013;1;4;17,5;24,4;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-04;NA
180005;50;2013;1;5;19,8;23,9;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-05;NA
180005;50;2013;1;6;18,8;24,0;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-06;NA
180005;50;2013;1;7;17,5;23,6;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-07;NA
180005;50;2013;1;8;17,3;23,1;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-08;NA
180005;50;2013;1;9;19,2;24,9;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-09;NA
180005;50;2013;1;10;19,4;24,4;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-10;NA
180005;50;2013;1;11;19,4;24,0;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-11;NA
180005;50;2013;1;12;20,1;25,3;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-12;NA
180005;50;2013;1;13;21,3;26,1;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-13;NA
180005;50;2013;1;14;19,9;24,9;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-14;NA
180005;50;2013;1;15;20,7;24,8;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-15;NA
180005;50;2013;1;16;21,2;24,5;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-16;NA
180005;50;2013;1;17;21,4;25,5;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-17;NA
180005;50;2013;1;18;20,3;25,1;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-18;NA
180005;50;2013;1;19;20,9;25,2;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-19;NA
180005;50;2013;1;20;19,9;25,5;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-20;NA
180005;50;2013;1;21;21,7;25,9;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-21;NA
180005;50;2013;1;22;19,5;24,9;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-22;NA
180005;50;2013;1;23;20,4;24,7;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-23;NA
180005;50;2013;1;24;18,9;26,1;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-24;NA
180005;50;2013;1;25;18,5;25,6;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-25;NA
180005;50;2013;1;26;20,1;25,7;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-26;NA
180005;50;2013;1;27;19,4;25,5;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-27;NA
180005;50;2013;1;28;19,5;25,7;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-28;NA
180005;50;2013;1;29;21,1;25,4;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-29;NA
180005;50;2013;1;30;20,3;25,6;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-30;NA
180005;50;2013;1;31;20,3;25,4;Chacalluta, Arica Ap.;-18,35555;-70,34028;Litoral;2013-01-31;NA
200006;48;2013;1;1;16,5;23,2;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-01;NA
200006;48;2013;1;2;16,7;23,3;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-02;NA
200006;48;2013;1;3;18,8;24,0;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-03;NA
200006;48;2013;1;4;17,8;22,6;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-04;NA
200006;48;2013;1;5;17,5;22,6;Diego Aracena Iquique Ap.;-20,54917;-70,18111;Litoral;2013-01-05;NA
